city_key,state,latitude,longitude,source
ATLANTA,IL,40.25948,-89.23342,geonames
ATMORE,AL,31.02379,-87.49387,geonames
ATOKA,OK,34.38593,-96.12833,geonames
ATTAPULGUS,GA,30.74932,-84.48568,geonames
ATWOOD,CO,40.54776,-103.26966,geonames
AUBREY,TX,33.30428,-96.98612,geonames
AUBURN,ME,44.09785,-70.23117,geonames
AUBURN,NH,43.00453,-71.34840,geonames
AUDUBON,IA,41.71804,-94.93249,geonames
AUGUSTA,GA,33.47097,-81.97484,geonames
AUGUSTA,ME,44.31062,-69.77949,geonames
AURORA,CO,39.72943,-104.83192,geonames
AURORA,MO,36.97089,-93.71798,geonames
AURORA,NE,40.86723,-98.00422,geonames
AURORA,OR,45.23095,-122.75593,geonames
AUSTIN,IN,38.75839,-85.80803,geonames
AUSTIN,MN,43.66663,-92.97464,geonames
AUSTIN,TX,30.26715,-97.74306,geonames
AUSTINBURG,OH,41.77200,-80.85453,geonames
AUSTINVILLE,VA,36.85123,-80.91202,geonames
AVENEL,NJ,40.58038,-74.28515,geonames
AVIS,PA,41.18479,-77.31386,geonames
AVOCA,IA,41.47666,-95.33805,geonames
AVON,NY,42.91201,-77.74556,geonames
AVON,OH,41.45171,-82.03542,geonames
AVONDALE,AZ,33.43560,-112.34960,geonames
AYER,MA,42.56120,-71.58979,geonames
AYNOR,SC,33.99989,-79.19949,geonames
AZLE,TX,32.89513,-97.54586,geonames
AZTEC,NM,36.82223,-107.99285,geonames
BADEN,PA,40.63507,-80.22812,geonames
BAILEYVILLE,ME,45.15702,-67.40472,geonames
BAINBRIDGE,GA,30.90380,-84.57547,geonames
BAIRD,TX,32.39402,-99.39424,geonames
BAKER,FL,30.16604,-85.68576,geonames
BAKER CITY,OR,44.77487,-117.83438,geonames
BALD KNOB,AR,35.30981,-91.56791,geonames
BALDWIN,WI,44.96663,-92.37436,geonames
BALLINGER,TX,31.73821,-99.94731,geonames
BALTIMORE,MD,39.29038,-76.61219,geonames
